O52025.10,H52034.35,L52003.40,C52029.00
O52029.80,H52041.95,L51996.90,C52033.90
O52037.15,H52044.15,L52016.35,C52023.80
O52022.20,H52073.50,L52016.85,C52044.10
O52046.70,H52078.60,L51895.80,C51952.65
O51949.90,H52030.45,L51930.95,C51982.45
O51983.20,H52006.35,L51939.80,C51958.50
O51958.00,H52003.55,L51946.40,C51972.85
O51977.25,H51977.25,L51933.20,C51939.95
O51934.70,H51940.15,L51854.00,C51863.50
O51865.00,H51904.05,L51858.50,C51877.05
O51874.50,H51884.80,L51837.10,C51854.40
O51855.60,H51918.90,L51850.25,C51911.70
O51910.55,H51912.30,L51874.65,C51880.55
O51880.15,H51903.25,L51853.45,C51873.75
O51874.05,H51885.80,L51831.70,C51832.95
O51830.60,H51841.20,L51780.15,C51798.20
O51795.80,H51848.45,L51785.45,C51828.80
O51830.20,H51857.05,L51812.35,C51848.90
O51846.40,H51890.90,L51812.50,C51888.60
O51889.75,H51939.70,L51879.10,C51918.95
O51922.90,H51930.55,L51891.40,C51913.60
O51913.05,H51916.45,L51880.75,C51885.80
O51886.30,H51924.90,L51881.85,C51906.20
O51906.80,H51911.90,L51850.00,C51861.80
O51878.50,H51879.30,L51767.75,C51860.25
O51862.75,H51945.35,L51854.25,C51934.35
O51934.45,H51965.10,L51910.65,C51940.80
O51945.75,H51958.55,L51863.40,C51886.95
O51889.50,H51894.65,L51845.45,C51858.85
O51862.45,H51870.10,L51799.25,C51812.35
O52053.75,H52095.85,L51986.15,C52038.80
O52036.15,H52082.65,L51936.70,C51950.30
O51952.15,H51989.55,L51888.85,C51898.60
O51898.70,H51969.00,L51851.30,C51945.70
O51949.35,H51952.95,L51782.60,C51801.60
O51801.45,H51845.15,L51796.70,C51842.80
O51843.80,H51871.25,L51798.25,C51842.40
O51843.65,H51906.45,L51823.80,C51845.45
O51845.20,H52168.25,L51841.05,C52129.55
O52135.75,H52146.55,L51856.80,C51932.85
O51928.05,H51980.20,L51894.85,C51980.20
O51978.95,H52022.45,L51937.10,C51964.25
O51966.60,H52008.05,L51941.05,C51945.55
O51945.90,H51962.65,L51917.70,C51925.60
O51928.00,H52004.05,L51921.30,C51936.45
O51937.25,H51946.60,L51748.35,C51772.65
O51770.25,H51777.75,L51690.10,C51723.60
