O52614.75,H52635.90,L52602.00,C52635.85
O52635.00,H52660.15,L52630.25,C52630.25
O52631.00,H52656.60,L52615.00,C52618.00
O52615.50,H52619.80,L52572.05,C52594.50
O52595.95,H52612.95,L52570.30,C52611.95
O52614.55,H52625.00,L52601.55,C52603.00
O52602.00,H52628.35,L52599.90,C52618.00
O52606.50,H52643.00,L52606.50,C52638.00
O52637.25,H52644.05,L52610.85,C52630.00
O52633.00,H52633.00,L52600.00,C52600.75
O52609.70,H52637.80,L52598.80,C52637.80
O52637.30,H52644.35,L52621.05,C52621.05
O52629.25,H52630.95,L52611.00,C52624.90
O52626.85,H52650.00,L52616.10,C52635.00
O52637.00,H52660.00,L52637.00,C52640.00
O52641.00,H52708.95,L52625.05,C52707.10
O52705.00,H52729.05,L52698.60,C52706.45
O52706.40,H52712.95,L52677.70,C52703.00
O52705.00,H52706.20,L52657.70,C52660.05
O52660.75,H52680.00,L52604.95,C52604.95
O52611.50,H52616.60,L52560.30,C52597.05
O52602.40,H52621.95,L52570.00,C52596.55
O52588.00,H52617.90,L52570.00,C52607.25
O52605.05,H52625.00,L52595.00,C52608.95
O52616.30,H52647.60,L52610.00,C52625.00
O52627.80,H52630.00,L52610.00,C52619.10
O52625.50,H52640.00,L52616.05,C52630.00
O52623.25,H52675.00,L52623.00,C52665.00
O52662.00,H52675.00,L52649.20,C52670.00
O52665.10,H52680.00,L52662.55,C52678.00=========================================
O52589.05,H52630.00,L52456.45,C52550.00
O52540.80,H52588.30,L52450.05,C52450.05
O52450.00,H52450.00,L52333.55,C52365.00
O52371.90,H52405.00,L52312.75,C52396.40
O52399.85,H52429.90,L52371.00,C52400.05
O52401.00,H52449.00,L52358.15,C52427.70
O52432.85,H52477.25,L52391.05,C52455.00
O52457.00,H52457.00,L52371.25,C52421.00
O52421.10,H52436.20,L52256.85,C52273.00
O52254.00,H52273.45,L52089.55,C52125.00
O52105.70,H52169.95,L52077.50,C52131.85
O52131.05,H52158.95,L52086.30,C52158.95
O52157.95,H52178.60,L52130.00,C52135.05
O52135.00,H52187.60,L52130.00,C52175.00
O52170.40,H52199.00,L52092.00,C52093.00
O52090.00,H52121.95,L52035.05,C52072.00
O52075.75,H52148.75,L52072.00,C52146.95
O52137.70,H52167.80,L52120.00,C52156.50
O52142.65,H52180.00,L52129.60,C52164.15
O52160.00,H52309.95,L52148.60,C52290.05
O52295.00,H52413.85,L52293.70,C52346.65
O52351.05,H52381.70,L52300.00,C52305.60
O52306.30,H52345.00,L52256.00,C52274.70
O52287.55,H52287.55,L52222.00,C52253.20
O52254.30,H52268.75,L52127.90,C52129.95
O52123.70,H52183.00,L52121.05,C52167.20
O52165.00,H52199.00,L52151.00,C52185.00
O52183.95,H52221.65,L52152.05,C52175.80
O52173.90,H52204.00,L52161.05,C52177.80
O52171.75,H52205.00,L52160.00,C52160.00
O52161.00,H52165.00,L52131.00,C52148.00
O52157.70,H52189.00,L52143.00,C52161.10
O52160.70,H52160.70,L52110.00,C52128.00
O52120.00,H52127.00,L52055.00,C52072.40
O52071.05,H52139.95,L52071.05,C52135.00
O52137.60,H52185.40,L52125.45,C52171.70
O52171.95,H52177.90,L52120.30,C52123.00
O52123.60,H52181.00,L52115.05,C52174.00
O52180.00,H52250.45,L52180.00,C52240.00
O52239.05,H52270.50,L52214.10,C52217.05
O52219.00,H52273.30,L52215.70,C52250.00
O52259.75,H52307.80,L52249.05,C52288.65
O52285.80,H52295.90,L52249.45,C52263.60
O52275.00,H52296.00,L52226.75,C52226.75
O52233.00,H52249.95,L52214.00,C52233.45
O52235.55,H52272.00,L52235.55,C52261.75
O52272.00,H52309.20,L52258.00,C52283.50
O52289.05,H52375.00,L52280.00,C52375.00
O52367.00,H52375.00,L52274.25,C52292.05
O52300.00,H52300.00,L52245.00,C52245.00
O52253.55,H52266.70,L52221.00,C52231.60
O52232.95,H52241.40,L52215.00,C52227.80
O52229.95,H52250.00,L52214.70,C52236.00
O52241.20,H52250.00,L52150.00,C52158.00
O52155.20,H52202.95,L52148.90,C52195.00
O52201.30,H52222.45,L52174.60,C52215.75
O52221.55,H52225.95,L52200.00,C52211.05
O52219.95,H52225.55,L52184.05,C52220.00
O52214.05,H52224.95,L52176.00,C52201.30
O52192.15,H52249.00,L52186.00,C52246.45
O52255.20,H52277.70,L52214.95,C52225.40
O52230.00,H52230.00,L52185.60,C52203.00
O52195.65,H52220.30,L52180.00,C52220.30
O52212.00,H52220.90,L52160.00,C52173.00
O52173.45,H52198.95,L52170.05,C52185.60
O52186.05,H52188.45,L52170.10,C52175.40
O52180.15,H52195.95,L52170.10,C52186.05
O52195.00,H52197.90,L52160.00,C52165.05
O52164.05,H52265.10,L52164.05,C52232.55
O52247.65,H52298.00,L52212.55,C52228.00
O52230.00,H52245.00,L52180.55,C52191.00
O52191.95,H52205.10,L52157.65,C52157.65
O52160.90,H52224.95,L52160.00,C52203.50
O52210.00,H52214.95,L52174.70,C52193.00
O52195.00,H52198.00,L52175.00,C52175.00======================
O52135.15,H52178.05,L51857.15,C51949.00
O51935.90,H51955.00,L51875.65,C51919.75
O51910.00,H52098.00,L51910.00,C52073.30
O52063.80,H52172.45,L52025.00,C52120.00
O52119.70,H52148.85,L52050.50,C52059.35
O52059.05,H52150.00,L52040.00,C52083.30
O52084.35,H52273.00,L52074.35,C52200.00
O52200.60,H52215.00,L51995.40,C52050.00
O52056.35,H52085.00,L52002.00,C52066.80
O52073.60,H52092.00,L52007.20,C52035.30
O52030.00,H52068.25,L51981.90,C52068.25
O52070.75,H52125.00,L52032.15,C52084.00
O52089.40,H52102.00,L52042.00,C52077.95
O52066.10,H52121.00,L52066.10,C52105.00
O52102.30,H52120.00,L52034.95,C52034.95
O52032.80,H52059.90,L52002.00,C52004.10
O52002.00,H52019.45,L51954.95,C52000.10
O52003.90,H52015.15,L51900.00,C51902.10
O51902.15,H51920.00,L51807.90,C51849.55
O51860.95,H51915.55,L51849.55,C51863.05
O51857.20,H51913.45,L51850.25,C51911.50
O51910.00,H51914.85,L51850.00,C51870.00
O51874.50,H51898.00,L51836.30,C51869.95
O51860.00,H51934.95,L51856.10,C51920.00
O51906.00,H51932.35,L51875.00,C51905.90
O51918.30,H51930.00,L51875.10,C51880.10
O51883.55,H51885.00,L51851.00,C51861.40
O51863.45,H51898.00,L51849.00,C51890.00
O51890.75,H51910.60,L51872.25,C51889.85
O51892.20,H51910.60,L51879.80,C51909.45
O51907.95,H51907.95,L51852.20,C51854.55
O51852.20,H51858.65,L51815.00,C51826.00
O51819.15,H51832.55,L51713.15,C51735.05
O51735.50,H51775.00,L51710.00,C51767.20
O51762.65,H51778.10,L51705.00,C51723.75
O51722.10,H51774.55,L51722.10,C51751.10
O51750.65,H51843.00,L51750.15,C51806.35
O51810.00,H51831.00,L51795.50,C51806.80
O51808.85,H51844.20,L51799.10,C51809.60
O51806.25,H51894.05,L51800.35,C51894.05
O51897.00,H51939.00,L51877.20,C51883.55
O51882.55,H51898.95,L51866.00,C51898.95
O51899.85,H51910.00,L51845.10,C51863.20
O51862.00,H51881.15,L51832.95,C51862.90
O51869.00,H51896.45,L51851.25,C51880.45
O51889.90,H51890.00,L51860.00,C51875.30
O51877.80,H51921.00,L51870.00,C51909.50
O51907.25,H51980.00,L51900.00,C51980.00
O51985.10,H51997.15,L51936.05,C51973.30
O51971.15,H52090.00,L51961.35,C52069.20
O52061.05,H52120.00,L52029.05,C52063.50
O52068.20,H52105.15,L52030.80,C52040.00
O52044.00,H52099.00,L52008.00,C52098.15
O52097.25,H52097.25,L52000.00,C52034.80
O52052.95,H52062.00,L52025.50,C52033.05
O52049.55,H52078.15,L51987.65,C52018.65
O52013.50,H52028.95,L51885.05,C51931.05
O51949.35,H51972.65,L51908.00,C51965.00
O51971.00,H51987.00,L51932.95,C51932.95
O51934.25,H51943.45,L51850.00,C51856.90
O51856.85,H51860.00,L51760.00,C51765.00
O51772.45,H51815.90,L51752.00,C51790.35
O51785.50,H51834.55,L51772.10,C51808.20
O51809.05,H51811.60,L51723.60,C51730.00
O51725.05,H51790.35,L51725.00,C51769.30
O51770.80,H51925.00,L51770.45,C51886.00
O51898.95,H51900.00,L51827.05,C51855.95
O51858.25,H51868.50,L51827.10,C51863.10
O51862.10,H51890.00,L51842.65,C51878.00
O51877.05,H51890.00,L51771.65,C51780.00
O51782.00,H51825.00,L51760.00,C51810.00
O51811.35,H51823.95,L51777.00,C51779.00
O51788.10,H51820.25,L51777.00,C51785.95
O51787.25,H51809.85,L51780.00,C51780.00
O51785.00,H51789.90,L51737.35,C51759.00==============================
O51744.95,H51744.95,L51527.55,C51568.00
O51569.40,H51684.70,L51531.80,C51597.60
O51588.55,H51689.00,L51588.55,C51675.85
O51666.15,H51795.00,L51650.00,C51785.40
O51773.10,H51825.00,L51701.00,C51701.05
O51703.70,H51760.90,L51616.90,C51732.30
O51734.00,H51819.90,L51715.05,C51800.00
O51806.75,H51812.00,L51744.00,C51805.10
O51812.95,H51882.00,L51778.90,C51833.65
O51829.95,H51848.70,L51750.00,C51778.80
O51773.75,H51808.00,L51738.25,C51803.90
O51802.70,H51802.70,L51750.50,C51770.00
O51774.80,H51794.95,L51741.00,C51750.00
O51758.40,H51811.95,L51750.05,C51807.95
O51812.70,H51991.05,L51804.85,C51971.05
O51993.00,H52075.15,L51970.05,C52024.95
O52023.05,H52146.45,L52023.05,C52114.45
O52115.00,H52149.90,L52058.60,C52089.45
O52093.75,H52124.80,L52062.40,C52090.50
O52091.10,H52122.80,L52075.00,C52120.00
O52119.05,H52229.00,L52113.55,C52229.00
O52225.00,H52248.00,L52164.05,C52195.15
O52195.10,H52200.00,L52152.05,C52180.00
O52186.70,H52316.05,L52172.85,C52300.35
O52316.95,H52383.85,L52308.05,C52336.85
O52330.50,H52343.10,L52285.00,C52329.85
O52335.00,H52350.00,L52272.60,C52335.00
O52341.60,H52354.70,L52297.70,C52349.55
O52348.15,H52357.25,L52308.10,C52317.40
O52322.80,H52382.50,L52322.80,C52382.50
O52382.00,H52387.40,L52318.05,C52321.85
O52317.15,H52341.00,L52296.15,C52300.40
O52306.85,H52332.00,L52296.20,C52304.60
O52302.00,H52330.00,L52271.00,C52300.10
O52300.20,H52309.70,L52270.00,C52270.00
O52267.05,H52286.85,L52233.90,C52285.60
O52288.65,H52295.00,L52220.00,C52225.00
O52223.70,H52227.95,L52143.15,C52183.55
O52181.05,H52232.00,L52165.00,C52208.15
O52209.60,H52261.90,L52209.60,C52234.90
O52247.95,H52315.00,L52245.10,C52279.80
O52296.80,H52296.80,L52250.00,C52252.85
O52258.25,H52298.90,L52234.00,C52240.00
O52236.05,H52252.50,L52224.55,C52230.00
O52230.15,H52251.00,L52225.00,C52251.00
O52248.00,H52263.20,L52215.00,C52244.00
O52247.00,H52262.65,L52225.00,C52233.90
O52240.80,H52275.00,L52219.95,C52259.90
O52255.00,H52288.90,L52118.35,C52159.45
O52154.10,H52239.30,L52140.00,C52203.95
O52188.05,H52206.50,L52147.90,C52166.05
O52161.00,H52208.15,L52145.65,C52183.45
O52175.00,H52180.00,L52135.00,C52150.00
O52135.05,H52154.90,L52075.00,C52083.00
O52077.80,H52120.00,L52077.70,C52099.80
O52099.00,H52099.75,L52033.10,C52057.60
O52059.60,H52141.30,L52059.10,C52134.20
O52138.35,H52144.00,L52107.10,C52108.00
O52106.00,H52130.00,L52076.00,C52091.00
O52088.05,H52114.50,L52053.00,C52059.30
O52055.05,H52058.10,L51976.30,C52001.00
O52003.50,H52048.55,L51980.00,C52028.60
O52035.75,H52054.75,L52022.00,C52049.40
O52049.70,H52106.90,L52020.00,C52106.90
O52110.40,H52140.00,L52091.35,C52139.00
O52138.00,H52144.00,L52111.95,C52125.15
O52125.00,H52138.20,L52101.20,C52115.55
O52114.60,H52148.95,L52105.00,C52132.55
O52128.35,H52128.90,L52083.55,C52093.00
O52096.00,H52096.00,L51987.30,C52060.00
O52064.00,H52140.00,L52060.00,C52139.95
O52135.00,H52159.90,L52120.00,C52140.00
O52139.95,H52154.00,L52072.00,C52080.00
O52081.90,H52098.35,L52060.25,C52075.00
O52066.65,H52079.00,L52050.30,C52060.10
O52162.10,H52256.85,L52135.95,C52207.35
O52209.05,H52246.15,L52110.00,C52125.00
O52131.00,H52167.70,L52076.00,C52082.50
O52082.40,H52153.25,L52040.00,C52135.95
O52129.05,H52135.00,L51977.20,C51982.60
O51999.35,H52029.00,L51981.75,C52027.60
O52014.10,H52060.00,L51990.00,C52039.40
O52039.10,H52085.00,L52002.05,C52025.00
O52020.00,H52346.00,L52014.05,C52323.25
O52324.80,H52339.00,L52050.00,C52128.20
O52124.80,H52169.95,L52088.10,C52169.95
O52168.90,H52200.00,L52128.60,C52142.00
O52153.10,H52189.05,L52130.10,C52141.00
O52140.35,H52159.35,L52104.00,C52104.00
O52113.10,H52195.00,L52103.35,C52129.70
O52126.50,H52143.80,L51956.65,C51974.40
O51974.85,H51982.95,L51901.00,C51920.65
O51920.90,H51945.45,L51870.50,C51910.85
O51906.75,H51914.85,L51812.00,C51907.20
O51908.05,H51968.00,L51880.00,C51920.10
O51912.65,H51940.00,L51890.00,C51898.25
O51890.00,H51950.00,L51888.05,C51909.75
O51905.00,H51979.00,L51890.05,C51975.95
O51979.95,H51993.00,L51940.35,C51974.95
O51974.55,H52055.00,L51938.25,C51964.10
O51975.00,H52040.00,L51960.20,C52025.05
O52019.85,H52040.00,L51993.35,C52013.45
O52004.00,H52035.00,L51981.00,C52021.70
O52029.90,H52037.90,L51987.80,C51988.00
O51998.85,H52025.00,L51965.10,C51991.00
O51992.15,H52044.00,L51969.55,C52020.95
O52024.35,H52054.00,L51968.00,C52022.20
O52025.70,H52047.55,L51950.00,C51965.25
O51973.75,H51998.90,L51953.05,C51975.00
O51967.95,H51996.95,L51947.30,C51947.80
O51950.00,H51965.95,L51874.10,C51915.00
O51909.90,H51943.50,L51890.00,C51943.50
O51930.00,H51948.95,L51900.45,C51925.00
O51920.00,H51925.00,L51850.00,C51921.80
O51908.50,H51944.95,L51865.10,C51885.20
O51885.60,H51906.90,L51838.55,C51851.40
O51857.10,H51857.10,L51651.70,C51685.65
O51697.60,H51704.55,L51447.60,C51455.05
O51450.00,H51561.90,L51448.10,C51541.95
O51542.65,H51560.00,L51462.00,C51508.45
O51511.80,H51619.05,L51495.05,C51594.30
O51582.40,H51618.85,L51549.10,C51582.60
O51577.85,H51585.50,L51492.70,C51504.95
O51512.55,H51512.55,L51352.55,C51396.00
O51409.00,H51518.55,L51390.00,C51482.30
O51486.15,H51497.85,L51444.00,C51488.80
O51480.00,H51510.00,L51425.00,C51426.85
O51431.00,H51445.95,L51382.00,C51403.95
O51403.80,H51439.75,L51393.30,C51419.00
O51422.45,H51577.35,L51406.25,C51480.05
O51460.00,H51499.95,L51415.85,C51499.95
O51490.55,H51530.25,L51441.90,C51443.30
O51448.35,H51469.95,L51420.05,C51447.60
O51449.10,H51525.00,L51441.00,C51464.35
O51464.55,H51513.50,L51438.10,C51460.50
O51455.00,H51469.95,L51420.00,C51469.95
O51467.40,H51510.00,L51437.20,C51470.00
O51474.60,H51489.20,L51276.15,C51307.50
O51318.25,H51530.45,L51300.00,C51493.55
O51490.00,H51537.00,L51390.00,C51400.00
O51397.85,H51449.10,L51380.05,C51403.95
O51402.70,H51470.00,L51400.00,C51469.65
O51470.00,H51489.00,L51445.00,C51459.40
O51461.15,H51494.20,L51430.00,C51430.00
O51424.50,H51470.95,L51400.00,C51443.50
O51450.00,H51460.00,L51342.35,C51361.85
O51372.00,H51372.00,L51324.85,C51329.85
O51339.00,H51397.65,L51335.05,C51391.40
O51382.00,H51410.00,L51363.40,C51367.75
O51369.15,H51389.95,L51334.55,C51334.55
O51280.80,H51402.00,L51201.90,C51350.00
O51350.05,H51396.95,L51315.65,C51324.30
O51340.00,H51423.00,L51328.75,C51339.80
O51338.00,H51464.00,L51300.00,C51320.50
O51320.65,H51365.15,L51281.25,C51302.05
O51307.85,H51371.00,L51290.00,C51315.00
O51313.90,H51349.00,L51144.80,C51171.50
O51171.00,H51381.70,L51163.40,C51305.85
O51310.15,H51350.00,L51282.00,C51340.00
O51346.65,H51352.30,L51120.35,C51120.35
O51117.30,H51180.10,L51020.00,C51110.00
O51095.00,H51131.10,L51031.65,C51055.00
O51050.00,H51126.10,L51012.00,C51118.20
O51117.75,H51117.75,L50980.00,C51053.35
O51042.45,H51130.45,L51042.45,C51107.75
